Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Nov 23 2014,9:30 pm,Denver Nuggets,101,Los Angeles Lakers,94,Box Score,OT,18997,
Sun Nov 23 2014,6:00 pm,Los Angeles Clippers,91,Memphis Grizzlies,107,Box Score,,18119,
Sun Nov 23 2014,6:00 pm,Charlotte Hornets,93,Miami Heat,94,Box Score,,19639,
Sun Nov 23 2014,7:00 pm,Golden State Warriors,91,Oklahoma City Thunder,86,Box Score,,18203,
Mon Nov 24 2014,7:00 pm,Los Angeles Clippers,113,Charlotte Hornets,92,Box Score,,17180,
Mon Nov 24 2014,7:00 pm,Orlando Magic,74,Cleveland Cavaliers,106,Box Score,,20562,
Mon Nov 24 2014,8:30 pm,Indiana Pacers,111,Dallas Mavericks,100,Box Score,,19850,
Mon Nov 24 2014,8:00 pm,New York Knicks,86,Houston Rockets,91,Box Score,,18133,
Mon Nov 24 2014,7:00 pm,Portland Trail Blazers,114,Philadelphia 76ers,104,Box Score,,11094,
Mon Nov 24 2014,7:30 pm,Phoenix Suns,100,Toronto Raptors,104,Box Score,,19800,
Mon Nov 24 2014,9:00 pm,Chicago Bulls,97,Utah Jazz,95,Box Score,,18904,
Tue Nov 25 2014,9:00 pm,Chicago Bulls,109,Denver Nuggets,114,Box Score,,17033,
Tue Nov 25 2014,7:30 pm,Golden State Warriors,114,Miami Heat,97,Box Score,,19647,
Tue Nov 25 2014,8:00 pm,Detroit Pistons,86,Milwaukee Bucks,98,Box Score,,15265,
Tue Nov 25 2014,8:00 pm,Sacramento Kings,99,New Orleans Pelicans,89,Box Score,,17037,
Tue Nov 25 2014,7:00 pm,Atlanta Hawks,106,Washington Wizards,102,Box Score,,15440,
Wed Nov 26 2014,7:30 pm,Toronto Raptors,126,Atlanta Hawks,115,Box Score,,16253,
Wed Nov 26 2014,7:00 pm,Portland Trail Blazers,105,Charlotte Hornets,97,Box Score,,16972,
Wed Nov 26 2014,7:00 pm,Washington Wizards,87,Cleveland Cavaliers,113,Box Score,,20562,
Wed Nov 26 2014,7:30 pm,New York Knicks,102,Dallas Mavericks,109,Box Score,OT,20352,
Wed Nov 26 2014,7:30 pm,Los Angeles Clippers,104,Detroit Pistons,98,Box Score,,13461,
Wed Nov 26 2014,8:00 pm,Sacramento Kings,89,Houston Rockets,102,Box Score,,18058,
Wed Nov 26 2014,10:30 pm,Memphis Grizzlies,99,Los Angeles Lakers,93,Box Score,,18997,
Wed Nov 26 2014,8:00 pm,Milwaukee Bucks,103,Minnesota Timberwolves,86,Box Score,,14710,
Wed Nov 26 2014,8:00 pm,Utah Jazz,82,Oklahoma City Thunder,97,Box Score,,18203,
Wed Nov 26 2014,7:00 pm,Golden State Warriors,111,Orlando Magic,96,Box Score,,17702,
Wed Nov 26 2014,7:00 pm,Brooklyn Nets,99,Philadelphia 76ers,91,Box Score,,11223,
Wed Nov 26 2014,9:00 pm,Denver Nuggets,112,Phoenix Suns,120,Box Score,,16099,
Wed Nov 26 2014,8:30 pm,Indiana Pacers,100,San Antonio Spurs,106,Box Score,,18581,
Fri Nov 28 2014,7:30 pm,New Orleans Pelicans,91,Atlanta Hawks,100,Box Score,,17079,
Fri Nov 28 2014,1:00 pm,Chicago Bulls,109,Boston Celtics,102,Box Score,,18203,
Fri Nov 28 2014,7:00 pm,Golden State Warriors,106,Charlotte Hornets,101,Box Score,,19381,
Fri Nov 28 2014,9:00 pm,Phoenix Suns,97,Denver Nuggets,122,Box Score,,15509,
Fri Nov 28 2014,7:30 pm,Milwaukee Bucks,104,Detroit Pistons,88,Box Score,,13127,
Fri Nov 28 2014,8:00 pm,Los Angeles Clippers,102,Houston Rockets,85,Box Score,,18226,
Fri Nov 28 2014,8:00 pm,Orlando Magic,83,Indiana Pacers,98,Box Score,,18165,
Fri Nov 28 2014,10:30 pm,Minnesota Timberwolves,120,Los Angeles Lakers,119,Box Score,,18997,
Fri Nov 28 2014,8:00 pm,New York Knicks,78,Oklahoma City Thunder,105,Box Score,,18203,
Fri Nov 28 2014,10:00 pm,Memphis Grizzlies,112,Portland Trail Blazers,99,Box Score,,19459,
Fri Nov 28 2014,8:30 pm,Sacramento Kings,104,San Antonio Spurs,112,Box Score,,18581,
Fri Nov 28 2014,7:30 pm,Dallas Mavericks,106,Toronto Raptors,102,Box Score,,19800,
Sat Nov 29 2014,7:30 pm,Charlotte Hornets,75,Atlanta Hawks,105,Box Score,,14185,
Sat Nov 29 2014,7:30 pm,Indiana Pacers,97,Cleveland Cavaliers,109,Box Score,,20562,
Sat Nov 29 2014,9:00 pm,Houston Rockets,117,Milwaukee Bucks,103,Box Score,,16119,
Sat Nov 29 2014,7:00 pm,Dallas Mavericks,110,Philadelphia 76ers,103,Box Score,,16145,
Sat Nov 29 2014,9:00 pm,Los Angeles Clippers,112,Utah Jazz,96,Box Score,,18479,
Sat Nov 29 2014,7:00 pm,New Orleans Pelicans,80,Washington Wizards,83,Box Score,,17581,
Sun Nov 30 2014,1:00 pm,San Antonio Spurs,111,Boston Celtics,89,Box Score,,17121,
Sun Nov 30 2014,3:00 pm,Chicago Bulls,102,Brooklyn Nets,84,Box Score,,17732,
Sun Nov 30 2014,3:30 pm,Golden State Warriors,104,Detroit Pistons,93,Box Score,,12737,
Sun Nov 30 2014,9:30 pm,Toronto Raptors,122,Los Angeles Lakers,129,Box Score,OT,18997,
Sun Nov 30 2014,7:30 pm,Miami Heat,86,New York Knicks,79,Box Score,,19812,
Sun Nov 30 2014,8:00 pm,Orlando Magic,93,Phoenix Suns,90,Box Score,,15558,
Sun Nov 30 2014,9:00 pm,Minnesota Timberwolves,93,Portland Trail Blazers,107,Box Score,,18843,
Sun Nov 30 2014,6:00 pm,Memphis Grizzlies,97,Sacramento Kings,85,Box Score,,16240,
Mon Dec 1 2014,10:30 pm,Minnesota Timberwolves,101,Los Angeles Clippers,127,Box Score,,19060,
Mon Dec 1 2014,7:00 pm,San Antonio Spurs,109,Philadelphia 76ers,103,Box Score,,12843,
Mon Dec 1 2014,9:00 pm,Denver Nuggets,103,Utah Jazz,101,Box Score,,16768,
Mon Dec 1 2014,7:00 pm,Miami Heat,86,Washington Wizards,107,Box Score,,15150,
Tue Dec 2 2014,7:30 pm,Boston Celtics,105,Atlanta Hawks,109,Box Score,,12705,
Tue Dec 2 2014,8:00 pm,Dallas Mavericks,132,Chicago Bulls,129,Box Score,2OT,22042,
Tue Dec 2 2014,7:00 pm,Milwaukee Bucks,108,Cleveland Cavaliers,111,Box Score,,20562,
Tue Dec 2 2014,9:00 pm,Portland Trail Blazers,105,Denver Nuggets,103,Box Score,,12822,
Tue Dec 2 2014,7:30 pm,Los Angeles Lakers,106,Detroit Pistons,96,Box Score,,14083,
Tue Dec 2 2014,10:30 pm,Orlando Magic,97,Golden State Warriors,98,Box Score,,19596,
Tue Dec 2 2014,8:00 pm,Oklahoma City Thunder,104,New Orleans Pelicans,112,Box Score,,13903,
Tue Dec 2 2014,7:30 pm,Brooklyn Nets,98,New York Knicks,93,Box Score,,19812,
Tue Dec 2 2014,9:00 pm,Indiana Pacers,99,Phoenix Suns,116,Box Score,,15059,
Tue Dec 2 2014,10:00 pm,Toronto Raptors,117,Sacramento Kings,109,Box Score,,15522,
