Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Notes
Sun Feb 28 2016,6:00 pm,Toronto Raptors,101,Detroit Pistons,114,Box Score,,17201,
Sun Feb 28 2016,6:00 pm,Portland Trail Blazers,111,Indiana Pacers,102,Box Score,,16662,
Sun Feb 28 2016,7:30 pm,Miami Heat,98,New York Knicks,81,Box Score,,19812,
Sun Feb 28 2016,6:00 pm,Philadelphia 76ers,116,Orlando Magic,130,Box Score,,16168,
Sun Feb 28 2016,1:00 pm,Cleveland Cavaliers,99,Washington Wizards,113,Box Score,,20356,
Mon Feb 29 2016,7:30 pm,Utah Jazz,95,Boston Celtics,100,Box Score,,17680,
Mon Feb 29 2016,7:00 pm,Indiana Pacers,96,Cleveland Cavaliers,100,Box Score,,20562,
Mon Feb 29 2016,9:00 pm,Memphis Grizzlies,103,Denver Nuggets,96,Box Score,,10324,
Mon Feb 29 2016,10:30 pm,Brooklyn Nets,95,Los Angeles Clippers,105,Box Score,,19060,
Mon Feb 29 2016,8:00 pm,Houston Rockets,121,Milwaukee Bucks,128,Box Score,,13214,
Mon Feb 29 2016,10:00 pm,Oklahoma City Thunder,131,Sacramento Kings,116,Box Score,,17317,
Mon Feb 29 2016,7:00 pm,Philadelphia 76ers,108,Washington Wizards,116,Box Score,,15096,
Tue Mar 1 2016,7:00 pm,Phoenix Suns,92,Charlotte Hornets,126,Box Score,,16849,
Tue Mar 1 2016,8:30 pm,Orlando Magic,108,Dallas Mavericks,121,Box Score,,19546,
Tue Mar 1 2016,10:30 pm,Atlanta Hawks,105,Golden State Warriors,109,Box Score,OT,19596,
Tue Mar 1 2016,10:30 pm,Brooklyn Nets,101,Los Angeles Lakers,107,Box Score,,18997,
Tue Mar 1 2016,7:30 pm,Chicago Bulls,111,Miami Heat,129,Box Score,,19654,
Tue Mar 1 2016,7:30 pm,Portland Trail Blazers,104,New York Knicks,85,Box Score,,19812,
Wed Mar 2 2016,7:30 pm,Portland Trail Blazers,93,Boston Celtics,116,Box Score,,18624,
Wed Mar 2 2016,9:00 pm,Los Angeles Lakers,107,Denver Nuggets,117,Box Score,,20096,
Wed Mar 2 2016,8:00 pm,New Orleans Pelicans,95,Houston Rockets,100,Box Score,,18226,
Wed Mar 2 2016,10:30 pm,Oklahoma City Thunder,98,Los Angeles Clippers,103,Box Score,,19304,
Wed Mar 2 2016,8:00 pm,Sacramento Kings,98,Memphis Grizzlies,104,Box Score,,15310,
Wed Mar 2 2016,8:00 pm,Indiana Pacers,104,Milwaukee Bucks,99,Box Score,,14263,
Wed Mar 2 2016,8:00 pm,Washington Wizards,104,Minnesota Timberwolves,98,Box Score,,11307,
Wed Mar 2 2016,7:00 pm,Chicago Bulls,89,Orlando Magic,102,Box Score,,16072,
Wed Mar 2 2016,7:00 pm,Charlotte Hornets,119,Philadelphia 76ers,99,Box Score,,11143,
Wed Mar 2 2016,8:00 pm,Detroit Pistons,81,San Antonio Spurs,97,Box Score,,18418,
Wed Mar 2 2016,7:30 pm,Utah Jazz,94,Toronto Raptors,104,Box Score,,19800,
Thu Mar 3 2016,8:30 pm,Sacramento Kings,104,Dallas Mavericks,101,Box Score,,19910,
Thu Mar 3 2016,10:30 pm,Oklahoma City Thunder,106,Golden State Warriors,121,Box Score,,19596,
Thu Mar 3 2016,7:30 pm,Phoenix Suns,92,Miami Heat,108,Box Score,,19600,
Thu Mar 3 2016,8:00 pm,San Antonio Spurs,94,New Orleans Pelicans,86,Box Score,,17781,
Fri Mar 4 2016,7:30 pm,New York Knicks,104,Boston Celtics,105,Box Score,,18624,
Fri Mar 4 2016,7:00 pm,Indiana Pacers,101,Charlotte Hornets,108,Box Score,,19099,
Fri Mar 4 2016,8:00 pm,Washington Wizards,83,Cleveland Cavaliers,108,Box Score,,20562,
Fri Mar 4 2016,9:00 pm,Brooklyn Nets,121,Denver Nuggets,120,Box Score,OT,14163,
Fri Mar 4 2016,10:30 pm,Atlanta Hawks,106,Los Angeles Lakers,77,Box Score,,18997,
Fri Mar 4 2016,8:00 pm,Utah Jazz,88,Memphis Grizzlies,94,Box Score,,17188,
Fri Mar 4 2016,8:00 pm,Minnesota Timberwolves,101,Milwaukee Bucks,116,Box Score,,16366,
Fri Mar 4 2016,7:00 pm,Phoenix Suns,102,Orlando Magic,84,Box Score,,17546,
Fri Mar 4 2016,7:00 pm,Miami Heat,112,Philadelphia 76ers,102,Box Score,,17610,
Fri Mar 4 2016,7:30 pm,Portland Trail Blazers,115,Toronto Raptors,117,Box Score,,19800,
Sat Mar 5 2016,8:30 pm,Houston Rockets,100,Chicago Bulls,108,Box Score,,22203,
Sat Mar 5 2016,7:00 pm,Boston Celtics,103,Cleveland Cavaliers,120,Box Score,,20562,
Sat Mar 5 2016,10:30 pm,Atlanta Hawks,107,Los Angeles Clippers,97,Box Score,,19236,
Sat Mar 5 2016,8:00 pm,Brooklyn Nets,118,Minnesota Timberwolves,132,Box Score,,15987,
Sat Mar 5 2016,7:00 pm,Utah Jazz,106,New Orleans Pelicans,94,Box Score,,16680,
Sat Mar 5 2016,7:00 pm,Detroit Pistons,89,New York Knicks,102,Box Score,,19812,
Sat Mar 5 2016,8:30 pm,Sacramento Kings,94,San Antonio Spurs,104,Box Score,,18418,
Sat Mar 5 2016,7:00 pm,Indiana Pacers,100,Washington Wizards,99,Box Score,,20356,
Sun Mar 6 2016,5:00 pm,Dallas Mavericks,114,Denver Nuggets,116,Box Score,OT,14802,
Sun Mar 6 2016,6:00 pm,Portland Trail Blazers,103,Detroit Pistons,123,Box Score,,18386,
Sun Mar 6 2016,3:30 pm,Golden State Warriors,95,Los Angeles Lakers,112,Box Score,,18997,
Sun Mar 6 2016,4:00 pm,Phoenix Suns,109,Memphis Grizzlies,100,Box Score,,17291,
Sun Mar 6 2016,6:00 pm,Philadelphia 76ers,98,Miami Heat,103,Box Score,,19820,
Sun Mar 6 2016,3:30 pm,Oklahoma City Thunder,104,Milwaukee Bucks,96,Box Score,,16565,
Sun Mar 6 2016,6:30 pm,Houston Rockets,113,Toronto Raptors,107,Box Score,,19800,
Mon Mar 7 2016,8:00 pm,Milwaukee Bucks,90,Chicago Bulls,100,Box Score,,21672,
Mon Mar 7 2016,7:00 pm,Minnesota Timberwolves,103,Charlotte Hornets,108,Box Score,,15912,
Mon Mar 7 2016,7:00 pm,Memphis Grizzlies,106,Cleveland Cavaliers,103,Box Score,,20562,
Mon Mar 7 2016,8:30 pm,Los Angeles Clippers,109,Dallas Mavericks,90,Box Score,,20002,
Mon Mar 7 2016,10:30 pm,Orlando Magic,113,Golden State Warriors,119,Box Score,,19596,
Mon Mar 7 2016,7:00 pm,San Antonio Spurs,91,Indiana Pacers,99,Box Score,,16742,
Mon Mar 7 2016,8:00 pm,Sacramento Kings,112,New Orleans Pelicans,115,Box Score,,16403,
Tue Mar 8 2016,9:00 pm,New York Knicks,94,Denver Nuggets,110,Box Score,,13305,
Tue Mar 8 2016,10:30 pm,Orlando Magic,98,Los Angeles Lakers,107,Box Score,,18997,
Tue Mar 8 2016,8:00 pm,San Antonio Spurs,116,Minnesota Timberwolves,91,Box Score,,14093,
Tue Mar 8 2016,10:00 pm,Washington Wizards,109,Portland Trail Blazers,116,Box Score,OT,19393,
Tue Mar 8 2016,7:30 pm,Brooklyn Nets,99,Toronto Raptors,104,Box Score,,19800,
Tue Mar 8 2016,9:00 pm,Atlanta Hawks,91,Utah Jazz,84,Box Score,,19282,
Wed Mar 9 2016,7:00 pm,Memphis Grizzlies,96,Boston Celtics,116,Box Score,,17790,
Wed Mar 9 2016,7:00 pm,New Orleans Pelicans,113,Charlotte Hornets,122,Box Score,,16335,
Wed Mar 9 2016,8:30 pm,Detroit Pistons,102,Dallas Mavericks,96,Box Score,,20249,
Wed Mar 9 2016,10:30 pm,Utah Jazz,94,Golden State Warriors,115,Box Score,,19596,
Wed Mar 9 2016,8:00 pm,Miami Heat,108,Milwaukee Bucks,114,Box Score,,15005,
Wed Mar 9 2016,9:30 pm,Los Angeles Clippers,108,Oklahoma City Thunder,120,Box Score,,18203,
Wed Mar 9 2016,7:00 pm,Houston Rockets,118,Philadelphia 76ers,104,Box Score,,15237,
Wed Mar 9 2016,9:00 pm,New York Knicks,128,Phoenix Suns,97,Box Score,,17105,
Wed Mar 9 2016,10:00 pm,Cleveland Cavaliers,120,Sacramento Kings,111,Box Score,,17317,
Thu Mar 10 2016,9:00 pm,Phoenix Suns,98,Denver Nuggets,116,Box Score,,11582,
Thu Mar 10 2016,10:30 pm,Cleveland Cavaliers,120,Los Angeles Lakers,108,Box Score,,18997,
Thu Mar 10 2016,8:00 pm,Chicago Bulls,101,San Antonio Spurs,109,Box Score,,18418,
Thu Mar 10 2016,7:30 pm,Atlanta Hawks,96,Toronto Raptors,104,Box Score,,19800,
Fri Mar 11 2016,7:30 pm,Houston Rockets,102,Boston Celtics,98,Box Score,,18624,
Fri Mar 11 2016,8:00 pm,Miami Heat,118,Chicago Bulls,96,Box Score,,22067,
Fri Mar 11 2016,7:00 pm,Detroit Pistons,103,Charlotte Hornets,118,Box Score,,18189,
Fri Mar 11 2016,10:30 pm,Portland Trail Blazers,112,Golden State Warriors,128,Box Score,,19596,
Fri Mar 11 2016,10:30 pm,New York Knicks,94,Los Angeles Clippers,101,Box Score,,19175,
Fri Mar 11 2016,8:00 pm,New Orleans Pelicans,114,Memphis Grizzlies,121,Box Score,OT,18119,
Fri Mar 11 2016,8:00 pm,Minnesota Timberwolves,99,Oklahoma City Thunder,96,Box Score,,18203,
Fri Mar 11 2016,7:00 pm,Brooklyn Nets,89,Philadelphia 76ers,95,Box Score,,14128,
Fri Mar 11 2016,10:00 pm,Orlando Magic,107,Sacramento Kings,100,Box Score,,17081,
Fri Mar 11 2016,9:00 pm,Washington Wizards,93,Utah Jazz,114,Box Score,,19911,
Sat Mar 12 2016,7:30 pm,Memphis Grizzlies,83,Atlanta Hawks,95,Box Score,,17515,
Sat Mar 12 2016,7:00 pm,Houston Rockets,109,Charlotte Hornets,125,Box Score,,19303,
Sat Mar 12 2016,2:00 pm,Indiana Pacers,112,Dallas Mavericks,105,Box Score,,20459,
Sat Mar 12 2016,9:30 pm,Washington Wizards,100,Denver Nuggets,116,Box Score,,13213,
Sat Mar 12 2016,10:30 pm,Phoenix Suns,116,Golden State Warriors,123,Box Score,,19596,
Sat Mar 12 2016,7:30 pm,New Orleans Pelicans,92,Milwaukee Bucks,103,Box Score,,16518,
Sat Mar 12 2016,7:00 pm,Detroit Pistons,125,Philadelphia 76ers,111,Box Score,,16087,
Sat Mar 12 2016,10:30 pm,Orlando Magic,84,Portland Trail Blazers,121,Box Score,,19452,
Sat Mar 12 2016,8:30 pm,Oklahoma City Thunder,85,San Antonio Spurs,93,Box Score,,18418,
Sat Mar 12 2016,7:00 pm,Miami Heat,104,Toronto Raptors,112,Box Score,OT,19800,
Sun Mar 13 2016,6:00 pm,Indiana Pacers,75,Atlanta Hawks,104,Box Score,,17066,
Sun Mar 13 2016,8:00 pm,Milwaukee Bucks,109,Brooklyn Nets,100,Box Score,,15241,
Sun Mar 13 2016,3:30 pm,Cleveland Cavaliers,114,Los Angeles Clippers,90,Box Score,,19342,
Sun Mar 13 2016,9:30 pm,New York Knicks,90,Los Angeles Lakers,87,Box Score,,18997,
Sun Mar 13 2016,6:00 pm,Utah Jazz,108,Sacramento Kings,99,Box Score,,17023,
Mon Mar 14 2016,7:00 pm,Dallas Mavericks,107,Charlotte Hornets,96,Box Score,,15686,
Mon Mar 14 2016,10:30 pm,New Orleans Pelicans,107,Golden State Warriors,125,Box Score,,19596,
Mon Mar 14 2016,8:00 pm,Memphis Grizzlies,81,Houston Rockets,130,Box Score,,18226,
Mon Mar 14 2016,7:30 pm,Denver Nuggets,119,Miami Heat,124,Box Score,,19744,
Mon Mar 14 2016,8:00 pm,Portland Trail Blazers,94,Oklahoma City Thunder,128,Box Score,,18203,
Mon Mar 14 2016,10:00 pm,Minnesota Timberwolves,104,Phoenix Suns,107,Box Score,,17480,
Mon Mar 14 2016,7:30 pm,Chicago Bulls,109,Toronto Raptors,107,Box Score,,19800,
Mon Mar 14 2016,10:30 pm,Cleveland Cavaliers,85,Utah Jazz,94,Box Score,,19911,
Mon Mar 14 2016,8:00 pm,Detroit Pistons,81,Washington Wizards,124,Box Score,,18042,
Tue Mar 15 2016,7:30 pm,Philadelphia 76ers,114,Brooklyn Nets,131,Box Score,,14560,
Tue Mar 15 2016,7:00 pm,Boston Celtics,98,Indiana Pacers,103,Box Score,,17118,
Tue Mar 15 2016,10:30 pm,Sacramento Kings,106,Los Angeles Lakers,98,Box Score,,18997,
Tue Mar 15 2016,8:00 pm,Toronto Raptors,107,Milwaukee Bucks,89,Box Score,,13522,
Tue Mar 15 2016,7:00 pm,Denver Nuggets,110,Orlando Magic,116,Box Score,,16988,
Tue Mar 15 2016,8:30 pm,Los Angeles Clippers,87,San Antonio Spurs,108,Box Score,,18418,
Wed Mar 16 2016,7:00 pm,Oklahoma City Thunder,130,Boston Celtics,109,Box Score,,18624,
Wed Mar 16 2016,7:00 pm,Orlando Magic,99,Charlotte Hornets,107,Box Score,,16148,
Wed Mar 16 2016,7:00 pm,Dallas Mavericks,98,Cleveland Cavaliers,99,Box Score,,20562,
Wed Mar 16 2016,7:30 pm,Atlanta Hawks,118,Detroit Pistons,114,Box Score,,14121,
Wed Mar 16 2016,10:30 pm,New York Knicks,85,Golden State Warriors,121,Box Score,,19596,
Wed Mar 16 2016,9:30 pm,Los Angeles Clippers,122,Houston Rockets,106,Box Score,,18304,
Wed Mar 16 2016,8:00 pm,Minnesota Timberwolves,114,Memphis Grizzlies,108,Box Score,,16588,
Wed Mar 16 2016,10:00 pm,New Orleans Pelicans,123,Sacramento Kings,108,Box Score,,17086,
Wed Mar 16 2016,7:00 pm,Chicago Bulls,96,Washington Wizards,117,Box Score,,19556,
Thu Mar 17 2016,8:00 pm,Denver Nuggets,98,Atlanta Hawks,116,Box Score,,14383,
Thu Mar 17 2016,8:00 pm,Brooklyn Nets,102,Chicago Bulls,118,Box Score,,21513,
Thu Mar 17 2016,7:00 pm,Toronto Raptors,101,Indiana Pacers,94,Box Score,OT,15104,
Thu Mar 17 2016,7:30 pm,Charlotte Hornets,109,Miami Heat,106,Box Score,,19848,
Thu Mar 17 2016,8:00 pm,Memphis Grizzlies,86,Milwaukee Bucks,96,Box Score,,11740,
Thu Mar 17 2016,7:00 pm,Washington Wizards,99,Philadelphia 76ers,94,Box Score,,10521,
Thu Mar 17 2016,8:30 pm,Portland Trail Blazers,110,San Antonio Spurs,118,Box Score,,18418,
Thu Mar 17 2016,9:00 pm,Phoenix Suns,69,Utah Jazz,103,Box Score,,18784,
Fri Mar 18 2016,8:30 pm,Golden State Warriors,130,Dallas Mavericks,112,Box Score,,20515,
Fri Mar 18 2016,7:30 pm,Sacramento Kings,108,Detroit Pistons,115,Box Score,,15982,
Fri Mar 18 2016,8:00 pm,Minnesota Timberwolves,111,Houston Rockets,116,Box Score,,18142,
Fri Mar 18 2016,10:30 pm,Phoenix Suns,95,Los Angeles Lakers,90,Box Score,,18997,
Fri Mar 18 2016,8:00 pm,Portland Trail Blazers,117,New Orleans Pelicans,112,Box Score,,17263,
Fri Mar 18 2016,7:00 pm,Cleveland Cavaliers,109,Orlando Magic,103,Box Score,,18046,
Fri Mar 18 2016,7:00 pm,Oklahoma City Thunder,111,Philadelphia 76ers,97,Box Score,,20388,
Fri Mar 18 2016,7:30 pm,Boston Celtics,91,Toronto Raptors,105,Box Score,,19800,
Sat Mar 19 2016,7:30 pm,Houston Rockets,97,Atlanta Hawks,109,Box Score,,18067,
Sat Mar 19 2016,8:00 pm,Utah Jazz,85,Chicago Bulls,92,Box Score,,21856,
Sat Mar 19 2016,6:00 pm,Denver Nuggets,101,Charlotte Hornets,93,Box Score,,19271,
Sat Mar 19 2016,7:00 pm,Brooklyn Nets,103,Detroit Pistons,115,Box Score,,17559,
Sat Mar 19 2016,7:00 pm,Oklahoma City Thunder,115,Indiana Pacers,111,Box Score,,18165,
Sat Mar 19 2016,8:00 pm,Los Angeles Clippers,102,Memphis Grizzlies,113,Box Score,,18119,
Sat Mar 19 2016,7:30 pm,Cleveland Cavaliers,101,Miami Heat,122,Box Score,,19737,
Sat Mar 19 2016,8:30 pm,Golden State Warriors,79,San Antonio Spurs,87,Box Score,,18825,
Sat Mar 19 2016,7:00 pm,New York Knicks,89,Washington Wizards,99,Box Score,,20356,
Sun Mar 20 2016,4:00 pm,Portland Trail Blazers,120,Dallas Mavericks,132,Box Score,OT,20351,
Sun Mar 20 2016,7:00 pm,Utah Jazz,94,Milwaukee Bucks,85,Box Score,,14124,
Sun Mar 20 2016,6:00 pm,Los Angeles Clippers,105,New Orleans Pelicans,109,Box Score,,17407,
Sun Mar 20 2016,7:30 pm,Sacramento Kings,88,New York Knicks,80,Box Score,,19812,
Sun Mar 20 2016,6:00 pm,Boston Celtics,120,Philadelphia 76ers,105,Box Score,,15103,
Sun Mar 20 2016,4:30 pm,Orlando Magic,100,Toronto Raptors,105,Box Score,,19800,
Mon Mar 21 2016,8:00 pm,Washington Wizards,117,Atlanta Hawks,102,Box Score,,15729,
Mon Mar 21 2016,7:30 pm,Orlando Magic,96,Boston Celtics,107,Box Score,,18624,
Mon Mar 21 2016,8:00 pm,Sacramento Kings,102,Chicago Bulls,109,Box Score,,21531,
Mon Mar 21 2016,7:00 pm,San Antonio Spurs,88,Charlotte Hornets,91,Box Score,,18260,
Mon Mar 21 2016,7:00 pm,Denver Nuggets,91,Cleveland Cavaliers,124,Box Score,,20562,
Mon Mar 21 2016,7:30 pm,Milwaukee Bucks,91,Detroit Pistons,92,Box Score,,13577,
Mon Mar 21 2016,7:00 pm,Philadelphia 76ers,75,Indiana Pacers,91,Box Score,,16155,
Mon Mar 21 2016,8:00 pm,Golden State Warriors,109,Minnesota Timberwolves,104,Box Score,,19452,
Mon Mar 21 2016,10:00 pm,Memphis Grizzlies,103,Phoenix Suns,97,Box Score,,15868,
Tue Mar 22 2016,7:30 pm,Charlotte Hornets,105,Brooklyn Nets,100,Box Score,,15739,
Tue Mar 22 2016,10:30 pm,Memphis Grizzlies,100,Los Angeles Lakers,107,Box Score,,18997,
Tue Mar 22 2016,8:00 pm,Miami Heat,113,New Orleans Pelicans,99,Box Score,,16867,
Tue Mar 22 2016,8:00 pm,Houston Rockets,107,Oklahoma City Thunder,111,Box Score,,18203,
Wed Mar 23 2016,7:30 pm,Toronto Raptors,79,Boston Celtics,91,Box Score,,18624,
Wed Mar 23 2016,8:00 pm,New York Knicks,115,Chicago Bulls,107,Box Score,,21788,
Wed Mar 23 2016,7:00 pm,Milwaukee Bucks,104,Cleveland Cavaliers,113,Box Score,,20562,
Wed Mar 23 2016,9:00 pm,Philadelphia 76ers,103,Denver Nuggets,104,Box Score,,10684,
Wed Mar 23 2016,7:30 pm,Orlando Magic,102,Detroit Pistons,118,Box Score,,16609,
Wed Mar 23 2016,10:30 pm,Los Angeles Clippers,98,Golden State Warriors,114,Box Score,,19596,
Wed Mar 23 2016,8:00 pm,Utah Jazz,89,Houston Rockets,87,Box Score,,18151,
Wed Mar 23 2016,8:00 pm,Sacramento Kings,104,Minnesota Timberwolves,113,Box Score,,12151,
Wed Mar 23 2016,10:00 pm,Los Angeles Lakers,107,Phoenix Suns,119,Box Score,,18191,
Wed Mar 23 2016,10:00 pm,Dallas Mavericks,103,Portland Trail Blazers,109,Box Score,,19819,
Wed Mar 23 2016,8:30 pm,Miami Heat,88,San Antonio Spurs,112,Box Score,,18418,
Wed Mar 23 2016,7:00 pm,Atlanta Hawks,122,Washington Wizards,101,Box Score,,18807,
Thu Mar 24 2016,7:30 pm,Cleveland Cavaliers,95,Brooklyn Nets,104,Box Score,,17732,
Thu Mar 24 2016,7:00 pm,New Orleans Pelicans,84,Indiana Pacers,92,Box Score,,17517,
Thu Mar 24 2016,10:30 pm,Portland Trail Blazers,94,Los Angeles Clippers,96,Box Score,,19359,
Thu Mar 24 2016,7:30 pm,Chicago Bulls,94,New York Knicks,106,Box Score,,19812,
Thu Mar 24 2016,8:00 pm,Utah Jazz,91,Oklahoma City Thunder,113,Box Score,,18203,
Fri Mar 25 2016,8:00 pm,Milwaukee Bucks,90,Atlanta Hawks,101,Box Score,,17070,
Fri Mar 25 2016,7:30 pm,Charlotte Hornets,105,Detroit Pistons,112,Box Score,,17209,
Fri Mar 25 2016,10:30 pm,Dallas Mavericks,120,Golden State Warriors,128,Box Score,,19596,
Fri Mar 25 2016,8:00 pm,Toronto Raptors,109,Houston Rockets,112,Box Score,,18230,
Fri Mar 25 2016,10:30 pm,Denver Nuggets,116,Los Angeles Lakers,105,Box Score,,18997,
Fri Mar 25 2016,8:00 pm,Orlando Magic,97,Miami Heat,108,Box Score,,19918,
Fri Mar 25 2016,10:00 pm,Phoenix Suns,94,Sacramento Kings,116,Box Score,,17317,
Fri Mar 25 2016,8:30 pm,Memphis Grizzlies,104,San Antonio Spurs,110,Box Score,,18418,
Fri Mar 25 2016,7:00 pm,Minnesota Timberwolves,132,Washington Wizards,129,Box Score,2OT,20356,
Sat Mar 26 2016,6:00 pm,Indiana Pacers,110,Brooklyn Nets,120,Box Score,,16625,
Sat Mar 26 2016,7:30 pm,Atlanta Hawks,112,Detroit Pistons,95,Box Score,,17857,
Sat Mar 26 2016,8:30 pm,Charlotte Hornets,115,Milwaukee Bucks,91,Box Score,,15544,
Sat Mar 26 2016,8:00 pm,Utah Jazz,93,Minnesota Timberwolves,84,Box Score,,14694,
Sat Mar 26 2016,7:00 pm,Toronto Raptors,115,New Orleans Pelicans,91,Box Score,,17009,
Sat Mar 26 2016,7:30 pm,Cleveland Cavaliers,107,New York Knicks,93,Box Score,,19812,
Sat Mar 26 2016,8:00 pm,San Antonio Spurs,92,Oklahoma City Thunder,111,Box Score,,18203,
Sat Mar 26 2016,7:00 pm,Chicago Bulls,89,Orlando Magic,111,Box Score,,18846,
Sat Mar 26 2016,10:00 pm,Boston Celtics,102,Phoenix Suns,99,Box Score,,18055,
Sat Mar 26 2016,10:00 pm,Philadelphia 76ers,105,Portland Trail Blazers,108,Box Score,,19506,
Sun Mar 27 2016,8:00 pm,Philadelphia 76ers,105,Golden State Warriors,117,Box Score,,19596,
Sun Mar 27 2016,6:00 pm,Houston Rockets,101,Indiana Pacers,104,Box Score,,17165,
Sun Mar 27 2016,3:30 pm,Denver Nuggets,90,Los Angeles Clippers,105,Box Score,,19060,
Sun Mar 27 2016,9:30 pm,Washington Wizards,101,Los Angeles Lakers,88,Box Score,,18997,
Sun Mar 27 2016,6:00 pm,Dallas Mavericks,111,Sacramento Kings,133,Box Score,,17147,
Mon Mar 28 2016,8:00 pm,Atlanta Hawks,102,Chicago Bulls,100,Box Score,,21761,
Mon Mar 28 2016,9:00 pm,Dallas Mavericks,97,Denver Nuggets,88,Box Score,,14844,
Mon Mar 28 2016,10:30 pm,Boston Celtics,90,Los Angeles Clippers,114,Box Score,,19258,
Mon Mar 28 2016,8:00 pm,San Antonio Spurs,101,Memphis Grizzlies,87,Box Score,,17133,
Mon Mar 28 2016,7:30 pm,Brooklyn Nets,99,Miami Heat,110,Box Score,,20003,
Mon Mar 28 2016,8:00 pm,Phoenix Suns,116,Minnesota Timberwolves,121,Box Score,,11141,
Mon Mar 28 2016,8:00 pm,New York Knicks,91,New Orleans Pelicans,99,Box Score,,17000,
Mon Mar 28 2016,10:00 pm,Sacramento Kings,93,Portland Trail Blazers,105,Box Score,,19393,
Mon Mar 28 2016,7:30 pm,Oklahoma City Thunder,119,Toronto Raptors,100,Box Score,,19800,
Mon Mar 28 2016,9:00 pm,Los Angeles Lakers,75,Utah Jazz,123,Box Score,,19911,
Tue Mar 29 2016,8:00 pm,Houston Rockets,106,Cleveland Cavaliers,100,Box Score,,20562,
Tue Mar 29 2016,7:30 pm,Oklahoma City Thunder,82,Detroit Pistons,88,Box Score,,18201,
Tue Mar 29 2016,10:30 pm,Washington Wizards,94,Golden State Warriors,102,Box Score,,19596,
Tue Mar 29 2016,7:00 pm,Chicago Bulls,98,Indiana Pacers,96,Box Score,,17050,
Tue Mar 29 2016,7:00 pm,Brooklyn Nets,105,Orlando Magic,139,Box Score,,17536,
Tue Mar 29 2016,7:00 pm,Charlotte Hornets,100,Philadelphia 76ers,85,Box Score,,14486,
Wed Mar 30 2016,8:30 pm,New York Knicks,89,Dallas Mavericks,91,Box Score,,20435,
Wed Mar 30 2016,10:30 pm,Miami Heat,100,Los Angeles Lakers,102,Box Score,OT,18997,
Wed Mar 30 2016,8:00 pm,Denver Nuggets,109,Memphis Grizzlies,105,Box Score,,16401,
Wed Mar 30 2016,8:00 pm,Phoenix Suns,94,Milwaukee Bucks,105,Box Score,,15733,
Wed Mar 30 2016,8:00 pm,Los Angeles Clippers,99,Minnesota Timberwolves,79,Box Score,,12252,
Wed Mar 30 2016,10:00 pm,Washington Wizards,111,Sacramento Kings,120,Box Score,,17185,
Wed Mar 30 2016,8:30 pm,New Orleans Pelicans,92,San Antonio Spurs,100,Box Score,,18418,
Wed Mar 30 2016,7:30 pm,Atlanta Hawks,97,Toronto Raptors,105,Box Score,,19800,
Wed Mar 30 2016,9:00 pm,Golden State Warriors,103,Utah Jazz,96,Box Score,OT,19911,
Thu Mar 31 2016,7:00 pm,Brooklyn Nets,87,Cleveland Cavaliers,107,Box Score,,20562,
Thu Mar 31 2016,7:00 pm,Chicago Bulls,103,Houston Rockets,100,Box Score,,18244,
Thu Mar 31 2016,7:00 pm,Orlando Magic,114,Indiana Pacers,94,Box Score,,17234,
Thu Mar 31 2016,8:00 pm,Denver Nuggets,95,New Orleans Pelicans,101,Box Score,,16269,
Thu Mar 31 2016,9:30 pm,Los Angeles Clippers,117,Oklahoma City Thunder,119,Box Score,,18203,
Thu Mar 31 2016,10:00 pm,Boston Celtics,109,Portland Trail Blazers,116,Box Score,,19393,
Fri Apr 1 2016,8:00 pm,Cleveland Cavaliers,110,Atlanta Hawks,108,Box Score,OT,19427,
Fri Apr 1 2016,7:00 pm,Philadelphia 76ers,91,Charlotte Hornets,100,Box Score,,19244,
Fri Apr 1 2016,7:30 pm,Dallas Mavericks,98,Detroit Pistons,89,Box Score,,19031,
Fri Apr 1 2016,10:30 pm,Boston Celtics,109,Golden State Warriors,106,Box Score,,19596,
Fri Apr 1 2016,8:00 pm,Toronto Raptors,99,Memphis Grizzlies,95,Box Score,,17077,
Fri Apr 1 2016,8:00 pm,Orlando Magic,110,Milwaukee Bucks,113,Box Score,,16268,
Fri Apr 1 2016,7:30 pm,Brooklyn Nets,91,New York Knicks,105,Box Score,,19812,
Fri Apr 1 2016,10:30 pm,Washington Wizards,106,Phoenix Suns,99,Box Score,,17345,
Fri Apr 1 2016,10:00 pm,Miami Heat,112,Sacramento Kings,106,Box Score,,17317,
Fri Apr 1 2016,9:00 pm,Minnesota Timberwolves,85,Utah Jazz,98,Box Score,,19911,
Sat Apr 2 2016,8:00 pm,Detroit Pistons,94,Chicago Bulls,90,Box Score,,22197,
Sat Apr 2 2016,9:00 pm,Sacramento Kings,115,Denver Nuggets,106,Box Score,,15607,
Sat Apr 2 2016,7:30 pm,Indiana Pacers,115,Philadelphia 76ers,102,Box Score,,19213,
Sat Apr 2 2016,10:00 pm,Miami Heat,93,Portland Trail Blazers,110,Box Score,,19633,
Sat Apr 2 2016,8:30 pm,Toronto Raptors,95,San Antonio Spurs,102,Box Score,,18418,
Sun Apr 3 2016,1:00 pm,New Orleans Pelicans,106,Brooklyn Nets,87,Box Score,,16329,
Sun Apr 3 2016,3:30 pm,Charlotte Hornets,103,Cleveland Cavaliers,112,Box Score,,20562,
